[2026-01-16T23:32:47.464Z] 
=== Starting validation for: boy.zip ===
[2026-01-16T23:32:47.465Z] ZIP file size: 1MB
[2026-01-16T23:32:47.509Z] Found assets folder content
[2026-01-16T23:32:47.510Z] Checking: assets/nexo/models/item/nexo_furniture/coffee_table.json (isDirectory: false)
[2026-01-16T23:32:47.510Z] Found assets folder content
[2026-01-16T23:32:47.510Z] Checking: assets/nexo/models/item/nexo_furniture/coffee_table_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.510Z] Found assets folder content
[2026-01-16T23:32:47.511Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable.json (isDirectory: false)
[2026-01-16T23:32:47.511Z] Found assets folder content
[2026-01-16T23:32:47.511Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.512Z] Found assets folder content
[2026-01-16T23:32:47.512Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_inner.json (isDirectory: false)
[2026-01-16T23:32:47.512Z] Found assets folder content
[2026-01-16T23:32:47.513Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_inner_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.513Z] Found assets folder content
[2026-01-16T23:32:47.513Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_left.json (isDirectory: false)
[2026-01-16T23:32:47.513Z] Found assets folder content
[2026-01-16T23:32:47.514Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_left_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.514Z] Found assets folder content
[2026-01-16T23:32:47.514Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_outer.json (isDirectory: false)
[2026-01-16T23:32:47.515Z] Found assets folder content
[2026-01-16T23:32:47.515Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_outer_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.515Z] Found assets folder content
[2026-01-16T23:32:47.515Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_right.json (isDirectory: false)
[2026-01-16T23:32:47.515Z] Found assets folder content
[2026-01-16T23:32:47.516Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_right_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.516Z] Found assets folder content
[2026-01-16T23:32:47.518Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_straight.json (isDirectory: false)
[2026-01-16T23:32:47.519Z] Found assets folder content
[2026-01-16T23:32:47.519Z] Checking: assets/nexo/models/item/nexo_furniture/connectable/connectable_straight_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.519Z] Found assets folder content
[2026-01-16T23:32:47.520Z] Checking: assets/nexo/models/item/nexo_furniture/double_bed.json (isDirectory: false)
[2026-01-16T23:32:47.520Z] Found assets folder content
[2026-01-16T23:32:47.520Z] Checking: assets/nexo/models/item/nexo_furniture/double_bed_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.521Z] Found assets folder content
[2026-01-16T23:32:47.521Z] Checking: assets/nexo/models/item/nexo_furniture/end_table.json (isDirectory: false)
[2026-01-16T23:32:47.521Z] Found assets folder content
[2026-01-16T23:32:47.521Z] Checking: assets/nexo/models/item/nexo_furniture/large_wooden_door.json (isDirectory: false)
[2026-01-16T23:32:47.522Z] Found assets folder content
[2026-01-16T23:32:47.522Z] Checking: assets/nexo/models/item/nexo_furniture/sofa.json (isDirectory: false)
[2026-01-16T23:32:47.522Z] Found assets folder content
[2026-01-16T23:32:47.523Z] Checking: assets/nexo/models/item/nexo_furniture/sofa_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.523Z] Found assets folder content
[2026-01-16T23:32:47.523Z] Checking: assets/nexo/models/item/nexo_furniture/storage_chest.json (isDirectory: false)
[2026-01-16T23:32:47.523Z] Found assets folder content
[2026-01-16T23:32:47.524Z] Checking: assets/nexo/models/item/nexo_furniture/table_lamp.json (isDirectory: false)
[2026-01-16T23:32:47.524Z] Found assets folder content
[2026-01-16T23:32:47.524Z] Checking: assets/nexo/models/item/nexo_furniture/table_lamp_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.524Z] Found assets folder content
[2026-01-16T23:32:47.524Z] Checking: assets/nexo/models/item/nexo_tools/forest_axe.json (isDirectory: false)
[2026-01-16T23:32:47.525Z] Found assets folder content
[2026-01-16T23:32:47.525Z] Checking: assets/nexo/models/item/nexo_tools/forest_hoe.json (isDirectory: false)
[2026-01-16T23:32:47.525Z] Found assets folder content
[2026-01-16T23:32:47.525Z] Checking: assets/nexo/models/item/nexo_tools/forest_pickaxe.json (isDirectory: false)
[2026-01-16T23:32:47.526Z] Found assets folder content
[2026-01-16T23:32:47.526Z] Checking: assets/nexo/models/item/nexo_tools/forest_shield.json (isDirectory: false)
[2026-01-16T23:32:47.526Z] Found assets folder content
[2026-01-16T23:32:47.527Z] Checking: assets/nexo/models/item/nexo_tools/forest_shield_blocking.json (isDirectory: false)
[2026-01-16T23:32:47.527Z] Found assets folder content
[2026-01-16T23:32:47.527Z] Checking: assets/nexo/models/item/nexo_tools/forest_shovel.json (isDirectory: false)
[2026-01-16T23:32:47.527Z] Found assets folder content
[2026-01-16T23:32:47.528Z] Checking: assets/nexo/models/item/nexo_tools/forest_sword.json (isDirectory: false)
[2026-01-16T23:32:47.528Z] Found assets folder content
[2026-01-16T23:32:47.528Z] Checking: assets/nexo/models/item/nexo_tools/forest_trident.json (isDirectory: false)
[2026-01-16T23:32:47.529Z] Found assets folder content
[2026-01-16T23:32:47.529Z] Checking: assets/nexo/models/item/nexo_tools/forest_trident_throwing.json (isDirectory: false)
[2026-01-16T23:32:47.529Z] Found assets folder content
[2026-01-16T23:32:47.529Z] Checking: assets/nexo/models/awnings/fabric_awning.json (isDirectory: false)
[2026-01-16T23:32:47.530Z] Found assets folder content
[2026-01-16T23:32:47.530Z] Checking: assets/nexo/models/awnings/fabric_awning_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.530Z] Found assets folder content
[2026-01-16T23:32:47.531Z] Checking: assets/nexo/models/awnings/fabric_awning_left.json (isDirectory: false)
[2026-01-16T23:32:47.531Z] Found assets folder content
[2026-01-16T23:32:47.531Z] Checking: assets/nexo/models/awnings/fabric_awning_left_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.531Z] Found assets folder content
[2026-01-16T23:32:47.531Z] Checking: assets/nexo/models/awnings/fabric_awning_right.json (isDirectory: false)
[2026-01-16T23:32:47.532Z] Found assets folder content
[2026-01-16T23:32:47.532Z] Checking: assets/nexo/models/awnings/fabric_awning_right_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.532Z] Found assets folder content
[2026-01-16T23:32:47.532Z] Checking: assets/nexo/models/awnings/fabric_awning_straight.json (isDirectory: false)
[2026-01-16T23:32:47.533Z] Found assets folder content
[2026-01-16T23:32:47.533Z] Checking: assets/nexo/models/awnings/fabric_awning_straight_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.533Z] Found assets folder content
[2026-01-16T23:32:47.533Z] Checking: assets/nexo/models/awnings/tile_awning.json (isDirectory: false)
[2026-01-16T23:32:47.534Z] Found assets folder content
[2026-01-16T23:32:47.534Z] Checking: assets/nexo/models/awnings/tile_awning_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.534Z] Found assets folder content
[2026-01-16T23:32:47.534Z] Checking: assets/nexo/models/awnings/tile_awning_left.json (isDirectory: false)
[2026-01-16T23:32:47.534Z] Found assets folder content
[2026-01-16T23:32:47.535Z] Checking: assets/nexo/models/awnings/tile_awning_left_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.535Z] Found assets folder content
[2026-01-16T23:32:47.535Z] Checking: assets/nexo/models/awnings/tile_awning_right.json (isDirectory: false)
[2026-01-16T23:32:47.535Z] Found assets folder content
[2026-01-16T23:32:47.535Z] Checking: assets/nexo/models/awnings/tile_awning_right_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.536Z] Found assets folder content
[2026-01-16T23:32:47.536Z] Checking: assets/nexo/models/awnings/tile_awning_straight.json (isDirectory: false)
[2026-01-16T23:32:47.536Z] Found assets folder content
[2026-01-16T23:32:47.536Z] Checking: assets/nexo/models/awnings/tile_awning_straight_dyeable.json (isDirectory: false)
[2026-01-16T23:32:47.536Z] Found assets folder content
[2026-01-16T23:32:47.537Z] Checking: assets/nexo/models/awnings/wooden_awning.json (isDirectory: false)
[2026-01-16T23:32:47.537Z] Found assets folder content
[2026-01-16T23:32:47.537Z] Checking: assets/nexo/models/awnings/wooden_awning_left.json (isDirectory: false)
[2026-01-16T23:32:47.537Z] Found assets folder content
[2026-01-16T23:32:47.537Z] Checking: assets/nexo/models/awnings/wooden_awning_right.json (isDirectory: false)
[2026-01-16T23:32:47.538Z] Found assets folder content
[2026-01-16T23:32:47.538Z] Checking: assets/nexo/models/awnings/wooden_awning_straight.json (isDirectory: false)
[2026-01-16T23:32:47.538Z] Found assets folder content
[2026-01-16T23:32:47.538Z] Checking: assets/nexo/models/big_doors_and_gates/iron_bar_door.json (isDirectory: false)
[2026-01-16T23:32:47.538Z] Found assets folder content
[2026-01-16T23:32:47.539Z] Checking: assets/nexo/models/big_doors_and_gates/iron_bar_gate.json (isDirectory: false)
[2026-01-16T23:32:47.539Z] Found assets folder content
[2026-01-16T23:32:47.539Z] Checking: assets/nexo/models/big_doors_and_gates/iron_door.json (isDirectory: false)
[2026-01-16T23:32:47.539Z] Found assets folder content
[2026-01-16T23:32:47.540Z] Checking: assets/nexo/models/big_doors_and_gates/iron_gate.json (isDirectory: false)
[2026-01-16T23:32:47.540Z] Found assets folder content
[2026-01-16T23:32:47.540Z] Checking: assets/nexo/models/big_doors_and_gates/ironwood_door.json (isDirectory: false)
[2026-01-16T23:32:47.540Z] Found assets folder content
[2026-01-16T23:32:47.540Z] Checking: assets/nexo/models/big_doors_and_gates/ironwood_gate.json (isDirectory: false)
[2026-01-16T23:32:47.540Z] Found assets folder content
[2026-01-16T23:32:47.541Z] Checking: assets/nexo/models/big_doors_and_gates/wooden_door.json (isDirectory: false)
[2026-01-16T23:32:47.541Z] Found assets folder content
[2026-01-16T23:32:47.541Z] Checking: assets/nexo/models/big_doors_and_gates/wooden_gate.json (isDirectory: false)
[2026-01-16T23:32:47.541Z] Found assets folder content
[2026-01-16T23:32:47.542Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_berry_rolls.json (isDirectory: false)
[2026-01-16T23:32:47.542Z] Found assets folder content
[2026-01-16T23:32:47.542Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_cake.json (isDirectory: false)
[2026-01-16T23:32:47.542Z] Found assets folder content
[2026-01-16T23:32:47.542Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_cake_cut.json (isDirectory: false)
[2026-01-16T23:32:47.543Z] Found assets folder content
[2026-01-16T23:32:47.543Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_chair.json (isDirectory: false)
[2026-01-16T23:32:47.543Z] Found assets folder content
[2026-01-16T23:32:47.543Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_coffee_beans.json (isDirectory: false)
[2026-01-16T23:32:47.543Z] Found assets folder content
[2026-01-16T23:32:47.544Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_coffee_mug.json (isDirectory: false)
[2026-01-16T23:32:47.544Z] Found assets folder content
[2026-01-16T23:32:47.544Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_counter.json (isDirectory: false)
[2026-01-16T23:32:47.544Z] Found assets folder content
[2026-01-16T23:32:47.544Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_counter_corner.json (isDirectory: false)
[2026-01-16T23:32:47.545Z] Found assets folder content
[2026-01-16T23:32:47.545Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_croissant.json (isDirectory: false)
[2026-01-16T23:32:47.545Z] Found assets folder content
[2026-01-16T23:32:47.545Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_display_case.json (isDirectory: false)
[2026-01-16T23:32:47.545Z] Found assets folder content
[2026-01-16T23:32:47.546Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_espresso_machine_green.json (isDirectory: false)
[2026-01-16T23:32:47.546Z] Found assets folder content
[2026-01-16T23:32:47.546Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_espresso_machine_red.json (isDirectory: false)
[2026-01-16T23:32:47.546Z] Found assets folder content
[2026-01-16T23:32:47.547Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_espresso_machine_white.json (isDirectory: false)
[2026-01-16T23:32:47.547Z] Found assets folder content
[2026-01-16T23:32:47.547Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_hanging_bulb.json (isDirectory: false)
[2026-01-16T23:32:47.547Z] Found assets folder content
[2026-01-16T23:32:47.547Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_hanging_bulb_off.json (isDirectory: false)
[2026-01-16T23:32:47.548Z] Found assets folder content
[2026-01-16T23:32:47.548Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_matcha_rolls.json (isDirectory: false)
[2026-01-16T23:32:47.548Z] Found assets folder content
[2026-01-16T23:32:47.548Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_prep_counter.json (isDirectory: false)
[2026-01-16T23:32:47.549Z] Found assets folder content
[2026-01-16T23:32:47.549Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_register.json (isDirectory: false)
[2026-01-16T23:32:47.549Z] Found assets folder content
[2026-01-16T23:32:47.549Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_standing_menu.json (isDirectory: false)
[2026-01-16T23:32:47.550Z] Found assets folder content
[2026-01-16T23:32:47.550Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_stool.json (isDirectory: false)
[2026-01-16T23:32:47.550Z] Found assets folder content
[2026-01-16T23:32:47.550Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_table.json (isDirectory: false)
[2026-01-16T23:32:47.550Z] Found assets folder content
[2026-01-16T23:32:47.551Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_wall_menu.json (isDirectory: false)
[2026-01-16T23:32:47.551Z] Found assets folder content
[2026-01-16T23:32:47.551Z] Checking: assets/nexo/models/coffee_shop_furniture/coffee_shop_wall_shelf.json (isDirectory: false)
[2026-01-16T23:32:47.551Z] Found assets folder content
[2026-01-16T23:32:47.552Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin.json (isDirectory: false)
[2026-01-16T23:32:47.552Z] Found assets folder content
[2026-01-16T23:32:47.552Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_creeper.json (isDirectory: false)
[2026-01-16T23:32:47.552Z] Found assets folder content
[2026-01-16T23:32:47.553Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_creeper_lit.json (isDirectory: false)
[2026-01-16T23:32:47.553Z] Found assets folder content
[2026-01-16T23:32:47.553Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_face_1.json (isDirectory: false)
[2026-01-16T23:32:47.553Z] Found assets folder content
[2026-01-16T23:32:47.554Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_face_1_lit.json (isDirectory: false)
[2026-01-16T23:32:47.554Z] Found assets folder content
[2026-01-16T23:32:47.554Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_face_2.json (isDirectory: false)
[2026-01-16T23:32:47.554Z] Found assets folder content
[2026-01-16T23:32:47.555Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_face_2_lit.json (isDirectory: false)
[2026-01-16T23:32:47.555Z] Found assets folder content
[2026-01-16T23:32:47.555Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_face_3.json (isDirectory: false)
[2026-01-16T23:32:47.555Z] Found assets folder content
[2026-01-16T23:32:47.556Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_face_3_lit.json (isDirectory: false)
[2026-01-16T23:32:47.556Z] Found assets folder content
[2026-01-16T23:32:47.556Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_heart.json (isDirectory: false)
[2026-01-16T23:32:47.556Z] Found assets folder content
[2026-01-16T23:32:47.556Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_heart_lit.json (isDirectory: false)
[2026-01-16T23:32:47.557Z] Found assets folder content
[2026-01-16T23:32:47.557Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_pickaxe.json (isDirectory: false)
[2026-01-16T23:32:47.557Z] Found assets folder content
[2026-01-16T23:32:47.557Z] Checking: assets/nexo/models/carved_pumpkins/pumpkin_pickaxe_lit.json (isDirectory: false)
[2026-01-16T23:32:47.557Z] Found assets folder content
[2026-01-16T23:32:47.558Z] Checking: assets/nexo/models/city_street/bus_stop.json (isDirectory: false)
[2026-01-16T23:32:47.558Z] Found assets folder content
[2026-01-16T23:32:47.558Z] Checking: assets/nexo/models/city_street/concrete_barrier.json (isDirectory: false)
[2026-01-16T23:32:47.558Z] Found assets folder content
[2026-01-16T23:32:47.559Z] Checking: assets/nexo/models/city_street/construction_barrier.json (isDirectory: false)
[2026-01-16T23:32:47.559Z] Found assets folder content
[2026-01-16T23:32:47.559Z] Checking: assets/nexo/models/city_street/dumpster_gray.json (isDirectory: false)
[2026-01-16T23:32:47.559Z] Found assets folder content
[2026-01-16T23:32:47.559Z] Checking: assets/nexo/models/city_street/dumpster_green.json (isDirectory: false)
[2026-01-16T23:32:47.560Z] Found assets folder content
[2026-01-16T23:32:47.560Z] Checking: assets/nexo/models/city_street/hydrant_green.json (isDirectory: false)
[2026-01-16T23:32:47.560Z] Found assets folder content
[2026-01-16T23:32:47.560Z] Checking: assets/nexo/models/city_street/hydrant_red.json (isDirectory: false)
[2026-01-16T23:32:47.560Z] Found assets folder content
[2026-01-16T23:32:47.561Z] Checking: assets/nexo/models/city_street/hydrant_yellow.json (isDirectory: false)
[2026-01-16T23:32:47.561Z] Found assets folder content
[2026-01-16T23:32:47.561Z] Checking: assets/nexo/models/city_street/large_traffic_cone.json (isDirectory: false)
[2026-01-16T23:32:47.561Z] Found assets folder content
[2026-01-16T23:32:47.562Z] Checking: assets/nexo/models/city_street/metal_barrier.json (isDirectory: false)
[2026-01-16T23:32:47.562Z] Found assets folder content
[2026-01-16T23:32:47.562Z] Checking: assets/nexo/models/city_street/recycling_can_blue.json (isDirectory: false)
[2026-01-16T23:32:47.562Z] Found assets folder content
[2026-01-16T23:32:47.563Z] Checking: assets/nexo/models/city_street/recycling_can_green.json (isDirectory: false)
[2026-01-16T23:32:47.563Z] Found assets folder content
[2026-01-16T23:32:47.563Z] Checking: assets/nexo/models/city_street/sign_bus.json (isDirectory: false)
[2026-01-16T23:32:47.563Z] Found assets folder content
[2026-01-16T23:32:47.564Z] Checking: assets/nexo/models/city_street/sign_limit_25.json (isDirectory: false)
[2026-01-16T23:32:47.564Z] Found assets folder content
[2026-01-16T23:32:47.564Z] Checking: assets/nexo/models/city_street/sign_limit_50.json (isDirectory: false)
[2026-01-16T23:32:47.564Z] Found assets folder content
[2026-01-16T23:32:47.564Z] Checking: assets/nexo/models/city_street/sign_parking.json (isDirectory: false)
[2026-01-16T23:32:47.564Z] Found assets folder content
[2026-01-16T23:32:47.565Z] Checking: assets/nexo/models/city_street/sign_stop.json (isDirectory: false)
[2026-01-16T23:32:47.565Z] Found assets folder content
[2026-01-16T23:32:47.565Z] Checking: assets/nexo/models/city_street/sign_two_way.json (isDirectory: false)
[2026-01-16T23:32:47.565Z] Found assets folder content
[2026-01-16T23:32:47.565Z] Checking: assets/nexo/models/city_street/traffic_cone.json (isDirectory: false)
[2026-01-16T23:32:47.566Z] Found assets folder content
[2026-01-16T23:32:47.566Z] Checking: assets/nexo/models/city_street/traffic_light_1.json (isDirectory: false)
[2026-01-16T23:32:47.566Z] Found assets folder content
[2026-01-16T23:32:47.566Z] Checking: assets/nexo/models/city_street/traffic_light_1_alternate.json (isDirectory: false)
[2026-01-16T23:32:47.567Z] Found assets folder content
[2026-01-16T23:32:47.567Z] Checking: assets/nexo/models/city_street/traffic_light_2.json (isDirectory: false)
[2026-01-16T23:32:47.567Z] Found assets folder content
[2026-01-16T23:32:47.568Z] Checking: assets/nexo/models/city_street/traffic_light_2_alternate.json (isDirectory: false)
[2026-01-16T23:32:47.568Z] Found assets folder content
[2026-01-16T23:32:47.568Z] Checking: assets/nexo/models/city_street/traffic_light_3.json (isDirectory: false)
[2026-01-16T23:32:47.568Z] Found assets folder content
[2026-01-16T23:32:47.569Z] Checking: assets/nexo/models/city_street/traffic_light_3_alternate.json (isDirectory: false)
[2026-01-16T23:32:47.570Z] Found assets folder content
[2026-01-16T23:32:47.570Z] Checking: assets/nexo/models/city_street/trash_can.json (isDirectory: false)
[2026-01-16T23:32:47.570Z] Found assets folder content
[2026-01-16T23:32:47.571Z] Checking: assets/nexo/models/crates_and_keys/crate_1.json (isDirectory: false)
[2026-01-16T23:32:47.571Z] Found assets folder content
[2026-01-16T23:32:47.571Z] Checking: assets/nexo/models/crates_and_keys/crate_2.json (isDirectory: false)
[2026-01-16T23:32:47.571Z] Found assets folder content
[2026-01-16T23:32:47.572Z] Checking: assets/nexo/models/crates_and_keys/crate_3.json (isDirectory: false)
[2026-01-16T23:32:47.572Z] Found assets folder content
[2026-01-16T23:32:47.572Z] Checking: assets/nexo/models/crates_and_keys/crate_4.json (isDirectory: false)
[2026-01-16T23:32:47.572Z] Found assets folder content
[2026-01-16T23:32:47.573Z] Checking: assets/nexo/models/crates_and_keys/crate_5.json (isDirectory: false)
[2026-01-16T23:32:47.573Z] Found assets folder content
[2026-01-16T23:32:47.573Z] Checking: assets/nexo/models/crates_and_keys/crate_6.json (isDirectory: false)
[2026-01-16T23:32:47.573Z] Found assets folder content
[2026-01-16T23:32:47.574Z] Checking: assets/nexo/models/crates_and_keys/key_1.json (isDirectory: false)
[2026-01-16T23:32:47.574Z] Found assets folder content
[2026-01-16T23:32:47.574Z] Checking: assets/nexo/models/crates_and_keys/key_2.json (isDirectory: false)
[2026-01-16T23:32:47.575Z] Found assets folder content
[2026-01-16T23:32:47.575Z] Checking: assets/nexo/models/crates_and_keys/key_3.json (isDirectory: false)
[2026-01-16T23:32:47.575Z] Found assets folder content
[2026-01-16T23:32:47.576Z] Checking: assets/nexo/models/crates_and_keys/key_4.json (isDirectory: false)
[2026-01-16T23:32:47.576Z] Found assets folder content
[2026-01-16T23:32:47.576Z] Checking: assets/nexo/models/crates_and_keys/key_5.json (isDirectory: false)
[2026-01-16T23:32:47.576Z] Found assets folder content
[2026-01-16T23:32:47.577Z] Checking: assets/nexo/models/crates_and_keys/key_6.json (isDirectory: false)
[2026-01-16T23:32:47.577Z] Found assets folder content
[2026-01-16T23:32:47.577Z] Checking: assets/nexo/models/graveyard/graveyard_lamp_post.json (isDirectory: false)
[2026-01-16T23:32:47.577Z] Found assets folder content
[2026-01-16T23:32:47.578Z] Checking: assets/nexo/models/graveyard/graveyard_soul_lamp_post.json (isDirectory: false)
[2026-01-16T23:32:47.578Z] Found assets folder content
[2026-01-16T23:32:47.578Z] Checking: assets/nexo/models/graveyard/large_tombstone_1.json (isDirectory: false)
[2026-01-16T23:32:47.578Z] Found assets folder content
[2026-01-16T23:32:47.579Z] Checking: assets/nexo/models/graveyard/medium_tombstone_1.json (isDirectory: false)
[2026-01-16T23:32:47.579Z] Found assets folder content
[2026-01-16T23:32:47.579Z] Checking: assets/nexo/models/graveyard/medium_tombstone_2.json (isDirectory: false)
[2026-01-16T23:32:47.579Z] Found assets folder content
[2026-01-16T23:32:47.579Z] Checking: assets/nexo/models/graveyard/old_lantern.json (isDirectory: false)
[2026-01-16T23:32:47.580Z] Found assets folder content
[2026-01-16T23:32:47.580Z] Checking: assets/nexo/models/graveyard/old_soul_lantern.json (isDirectory: false)
[2026-01-16T23:32:47.580Z] Found assets folder content
[2026-01-16T23:32:47.581Z] Checking: assets/nexo/models/graveyard/small_tombstone_1.json (isDirectory: false)
[2026-01-16T23:32:47.581Z] Found assets folder content
[2026-01-16T23:32:47.581Z] Checking: assets/nexo/models/graveyard/small_tombstone_2.json (isDirectory: false)
[2026-01-16T23:32:47.581Z] Found assets folder content
[2026-01-16T23:32:47.582Z] Checking: assets/nexo/models/graveyard/small_tombstone_3.json (isDirectory: false)
[2026-01-16T23:32:47.582Z] Found assets folder content
[2026-01-16T23:32:47.582Z] Checking: assets/nexo/models/graveyard/tomb_open.json (isDirectory: false)
[2026-01-16T23:32:47.582Z] Found assets folder content
[2026-01-16T23:32:47.583Z] Checking: assets/nexo/models/graveyard/tomb_sealed.json (isDirectory: false)
[2026-01-16T23:32:47.583Z] Found assets folder content
[2026-01-16T23:32:47.584Z] Checking: assets/nexo/models/modern_kitchen/modern_kitchen_apple_bowl.json (isDirectory: false)
[2026-01-16T23:32:47.584Z] Found assets folder content
[2026-01-16T23:32:47.585Z] Checking: assets/nexo/models/modern_kitchen/modern_kitchen_backsplash_green.json (isDirectory: false)
[2026-01-16T23:32:47.585Z] Found assets folder content
[2026-01-16T23:32:47.585Z] Checking: assets/nexo/models/modern_kitchen/modern_kitchen_backsplash_white.json (isDirectory: false)
[2026-01-16T23:32:47.585Z] Found assets folder content
[2026-01-16T23:32:47.585Z] Checking: assets/nexo/models/modern_kitchen/modern_kitchen_cabinet_1.json (isDirectory: false)
[2026-01-16T23:32:47.586Z] Found assets folder content
